SQLDATE,EventCode,ActionGeo_FullName,ActionGeo_Lat,ActionGeo_Long,AvgTone
20240715,145,"Chicago, Illinois, United States",41.85,-87.6501,-9.99999999999997
20240713,145,"Chicago, Illinois, United States",41.85,-87.6501,-0.92936802973978
20240713,145,"Chicago, Illinois, United States",41.85,-87.6501,-0.92936802973978
20240712,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.88410596026491
20240712,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.88410596026491
20240708,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.23611111111111
20240708,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.91284403669724
20240705,145,"Chicago, Illinois, United States",41.85,-87.6501,-9.88835725677831
20240705,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.80368852728232
20240702,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.59854633016514
20240702,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.0863531225906
20240701,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.01011804384486
20240701,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.01011804384486
20240629,145,"Chicago, Illinois, United States",41.85,-87.6501,-0.76530612244898
20240628,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.59133709981167
20240628,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.62776025236593
20240628,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.5706940874036
20240628,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.62776025236593
20240626,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.92705167173253
20240618,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.45118733509235
20240611,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.60927152317881
20240609,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.59633649932157
20240529,145,"Art Institute Of Chicago, Illinois, United States",41.8795,-87.6223,-1.47710487444608
20240524,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.50268817204301
20240524,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.35785649409628
20240524,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.35785649409628
20240523,145,"Chicago, Illinois, United States",41.85,-87.6501,-9.19324577861163
20240523,145,"Chicago, Illinois, United States",41.85,-87.6501,-9.19324577861163
20240523,145,"Chicago, Illinois, United States",41.85,-87.6501,-9.19324577861163
20240522,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.83403068340307
20240522,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.83403068340307
20240520,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.28087831655993
20240519,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.81613508442777
20240519,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.81613508442777
20240516,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.27868852459016
20240516,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.27868852459016
20240513,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.46320346320346
20240512,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.09758771929825
20240510,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.72636815920398
20240510,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.72636815920398
20240510,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.72636815920398
20240508,145,"Chicago, Illinois, United States",41.85,-87.6501,0.0
20240507,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.25639110425752
20240507,145,"Chicago, Illinois, United States",41.85,-87.6501,-3.25639110425752
20240505,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.40131578947368
20240505,145,"Chicago, Illinois, United States",41.85,-87.6501,-8.88888888888888
20240505,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.40131578947368
20240505,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.40131578947368
20240503,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.85446009389672
20240503,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.85446009389672
20240503,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.85446009389672
20240503,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.85446009389672
20240501,145,"Chicago, Illinois, United States",41.85,-87.6501,1.11248454882572
20240430,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.32646048109965
20240428,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.13094310210445
20240427,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.69230769230769
20240425,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.4027603513174
20240422,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.26716141001855
20240419,145,"Chicago, Illinois, United States",41.85,-87.6501,-2.17065868263473
20240418,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.41013718633516
20240417,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.77689243027888
20240416,145,"Chicago, Illinois, United States",41.85,-87.6501,-1.97841726618705
20240415,145,"Chicago, Illinois, United States",41.85,-87.6501,-7.75193798449612
20240412,145,"Chicago, Illinois, United States",41.85,-87.6501,-10.684534588917
20240412,145,"Chicago, Illinois, United States",41.85,-87.6501,1.47841513897102
20240411,145,"Chicago, Illinois, United States",41.85,-87.6501,-6.02498163115357
20240410,145,"Chicago, Illinois, United States",41.85,-87.6501,-9.70267883426557
20240403,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.20291363163372
20240402,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.40115364446775
20240402,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.40115364446775
20240402,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.06265383842186
20240402,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.61959654178674
20240402,145,"Chicago, Illinois, United States",41.85,-87.6501,-5.40115364446775
20240402,145,"Chicago, Illinois, United States",41.85,-87.6501,-4.80769230769231
